recording_id,lat,lng,country,quality,month,hqi,bout_count,bouts_per_minute,mean_min_frequency_hz,std_min_frequency_hz,min_min_frequency_hz,max_min_frequency_hz,mean_peak_frequency_hz,std_peak_frequency_hz,min_peak_frequency_hz,max_peak_frequency_hz,mean_spectral_entropy,std_spectral_entropy,min_spectral_entropy,max_spectral_entropy,mean_temporal_entropy,std_temporal_entropy,min_temporal_entropy,max_temporal_entropy,mean_harmonicity_hnr_db,std_harmonicity_hnr_db,min_harmonicity_hnr_db,max_harmonicity_hnr_db,mean_bout_duration_s,std_bout_duration_s,min_bout_duration_s,max_bout_duration_s,mean_syllable_rate_per_s,std_syllable_rate_per_s,min_syllable_rate_per_s,max_syllable_rate_per_s,mean_modulation_index,std_modulation_index,min_modulation_index,max_modulation_index
217472,49.0206,9.0183,Germany,B,3,0.8192703876196697,23,15.333333333333334,3231.3195540258284,446.8721915077403,2783.3968843840626,3750.807288950415,4813.858695652174,361.7570230913387,3890.625,5085.9375,3.223293978260869,0.4118644208786145,2.3869512,4.0387883,5.147995343478261,0.16962885563905278,4.7478786,5.502393,16.33985613590044,2.712469423717704,9.593613778651722,21.286562040861796,3.0,0.0,3.0,3.0,3.304347826086956,1.0163543995528543,1.6666666666666667,5.333333333333333,1.2914423378260873,0.23461206923040367,0.7911098,1.7908171
218029,48.3062,10.9337,Germany,C,3,0.7427027344312568,7,2.916666666666667,3612.748219888454,98.10603987283315,3395.79564056698,3750.807288950415,3977.6785714285716,27.201021444093612,3937.5,4031.25,3.504624228571429,0.2269204632480396,3.0261586,3.7832665,5.087009685714285,0.1842152121313346,4.814949,5.3556094,15.311045737433782,1.8671655625663337,12.280268473251146,17.241942285769042,3.0,0.0,3.0,3.0,2.857142857142857,0.8518354199999199,1.6666666666666667,4.0,1.368243342857143,0.2814151165548141,0.9891585,1.8259865
225389,49.0356,8.9537,Germany,B,3,0.8261439772074215,9,13.170731707317072,3678.4079522884194,469.81030097885736,2437.796955402183,4142.933441216916,4359.375,15.625,4335.9375,4382.8125,2.6222793111111113,0.19450689864632592,2.3142767,2.9096372,4.356750811111111,0.2185643770633035,4.1132755,4.84902,16.48093948216809,1.2535578747102236,14.460288866562532,17.824086440291,3.0,0.0,3.0,3.0,1.3333333333333333,0.3849001794597506,1.0,2.3333333333333335,2.5840634666666666,0.3459109405187796,1.8864554,2.9654696
233509,43.2835,5.3711,France,B,3,0.1116985627677111,15,15.254237288135593,2823.7460930541292,557.5051124312823,1532.7661745000066,3285.0890365665714,3800.0,902.3839953146332,2156.25,5156.25,4.114779513333334,0.3781478056673146,3.6359854,4.7459764,5.148746886666668,0.14370336323734784,4.786195,5.3121095,13.122667085784878,2.019930247946826,9.46510633696657,16.017578658212567,3.0,0.0,3.0,3.0,2.844444444444444,1.4239572749867373,0.6666666666666666,4.666666666666667,1.3875148400000001,0.2985506036770535,1.0497136,1.9956378
235079,43.9505,7.5265,France,C,4,0.8429811498708677,4,12.0,3126.1886090139583,51.802978362019985,3074.3856306519383,3177.9915873759783,4792.96875,48.31764405020696,4734.375,4851.5625,3.646391475,0.20635075825975752,3.322168,3.8960745,4.655802525,0.1894223715525092,4.361677,4.8466816,18.590498343237734,2.5337298837188413,14.712839586759424,21.15121577183266,3.0,0.0,3.0,3.0,1.9166666666666665,0.6400954789890507,1.0,2.6666666666666665,1.9762194749999997,0.4230243935418758,1.6375333,2.6832564
235214,43.9253,7.4826,France,B,4,0.9012871924827862,18,13.170731707317072,3750.807288950415,0.0,3750.807288950415,3750.807288950415,3867.1875,22.09708691207961,3820.3125,3914.0625,2.41562385,0.36445246859101643,1.8494565,3.299584,4.664935016666666,0.21707724376882598,4.2246113,5.0523524,21.427529233144,2.2068295865806564,16.353247978069515,24.821727912675673,3.0,0.0,3.0,3.0,1.6481481481481481,0.7574504198599096,0.3333333333333333,3.3333333333333335,1.9602073722222224,0.4582424865496382,1.3116941,3.1802406
235332,48.7303,11.1888,Germany,C,3,0.2570968349367405,34,10.355329949238579,3038.397685669059,545.2192429537954,1809.0389422075937,4142.933441216916,4245.63419117647,216.9138336843625,3234.375,4570.3125,4.154384567647059,0.8053146557430045,3.1147826,5.4995627,5.333661270588235,0.1982835366635076,4.810612,5.581236,10.19649121479128,4.537142330783408,3.7333078821544414,16.87552767447284,3.0,0.0,3.0,3.0,3.274509803921569,0.8573808278068802,1.3333333333333333,4.666666666666667,1.0822988214705884,0.3054639723947592,0.6776984,1.9207668
235333,48.7303,11.1888,Germany,C,3,0.2570968349367405,92,15.637393767705383,2782.612000228318,450.17881570575963,1637.8144970715018,3285.0890365665714,4118.376358695652,868.0637333305853,2484.375,6445.3125,5.008721658695651,0.30331293746865096,4.1908245,5.4667344,5.406130789130434,0.1430518951151967,4.919504,5.588119,7.245966976090548,2.4029002005992846,2.7869298470225017,12.85890659578336,3.0,0.0,3.0,3.0,2.6739130434782608,0.825292015175816,0.6666666666666666,4.333333333333333,0.9961551144565218,0.2389401302862155,0.65039027,1.9297966
235342,48.7303,11.1888,Germany,C,3,0.2570968349367405,92,15.637393767705383,2782.612000228318,450.17881570575963,1637.8144970715018,3285.0890365665714,4118.376358695652,868.0637333305853,2484.375,6445.3125,5.008721658695651,0.30331293746865096,4.1908245,5.4667344,5.406130789130434,0.1430518951151967,4.919504,5.588119,7.245966976090548,2.4029002005992846,2.7869298470225017,12.85890659578336,3.0,0.0,3.0,3.0,2.6739130434782608,0.825292015175816,0.6666666666666666,4.333333333333333,0.9961551144565218,0.2389401302862155,0.65039027,1.9297966
235549,48.3206,-4.2989,France,C,4,0.7796425547638008,14,15.555555555555555,3549.662129439206,523.6490755307237,1750.062319644153,4007.86933830162,4238.839285714285,12.072158288383893,4218.75,4265.625,3.157301964285714,0.5895462928487993,2.5332534,4.500855,5.029590064285715,0.14127243840860723,4.6598163,5.2647486,12.59479870095957,1.5791282132357891,7.5634397730426,13.89821066183674,3.0,0.0,3.0,3.0,3.3809523809523805,0.628138378965377,2.0,4.0,1.5607734714285715,0.24403879634856487,1.188386,2.1816568
