segment_id,recording_id,min_frequency_hz,peak_frequency_hz,spectral_entropy,temporal_entropy,harmonicity_hnr_db,bout_duration_s,syllable_rate_per_s,modulation_index
406495_seg_33000,406495,3285.0890365665714,3562.5,3.4647398,5.089615,17.927456877128122,3.0,2.6666666666666665,1.2588207
406495_seg_36000,406495,3285.0890365665714,3539.0625,3.4545498,4.501005,17.179009362121572,3.0,1.3333333333333333,2.0736027
406495_seg_39000,406495,3177.9915873759783,3539.0625,3.4698403,4.8755784,17.8988078082636,3.0,2.0,1.5205165
405784_seg_0,405784,3177.9915873759783,4406.25,3.5159142,5.096467,14.704550364014144,3.0,3.3333333333333335,1.5526211
405784_seg_6000,405784,3285.0890365665714,4242.1875,4.010356,5.127699,12.855964187445608,3.0,3.6666666666666665,1.4393895
405784_seg_18000,405784,3285.0890365665714,4265.625,3.8279808,5.116192,13.210845189117267,3.0,3.6666666666666665,1.4818925
405784_seg_24000,405784,3628.5269219403576,4429.6875,3.6236436,5.034317,14.887669809729912,3.0,3.6666666666666665,1.6834508
405784_seg_39000,405784,3395.79564056698,4265.625,3.7719464,5.109151,14.699155602228258,3.0,4.0,1.445487
405466_seg_0,405466,3750.807288950415,4828.125,2.5826712,4.1878347,25.875070070620733,3.0,1.3333333333333333,2.6303957
405466_seg_3000,405466,3750.807288950415,4757.8125,1.9412204,4.1119885,27.327237460534228,3.0,1.3333333333333333,2.7264633
405466_seg_6000,405466,3750.807288950415,4781.25,2.349746,4.5586185,24.57379360424162,3.0,2.3333333333333335,2.0056083
405466_seg_12000,405466,3628.5269219403576,4781.25,2.9952755,4.5604014,26.689069258085656,3.0,2.0,2.0217957
405466_seg_18000,405466,3628.5269219403576,4734.375,2.3458354,4.9278064,26.11272362651557,3.0,4.0,1.4394428
405466_seg_21000,405466,3628.5269219403576,4710.9375,2.9009497,4.631104,23.76432377015996,3.0,1.6666666666666667,1.9794713
405466_seg_33000,405466,3628.5269219403576,4781.25,2.0981765,4.806572,27.086884132646222,3.0,3.6666666666666665,1.5897086
405466_seg_36000,405466,3628.5269219403576,4734.375,2.406885,4.411592,24.2864829785193,3.0,1.6666666666666667,2.2683809
405466_seg_39000,405466,3750.807288950415,4804.6875,2.271024,4.5221024,26.814426092244556,3.0,2.6666666666666665,2.04653
405466_seg_42000,405466,3750.807288950415,4851.5625,2.5909328,4.3863635,22.693416722718098,3.0,1.3333333333333333,2.5164268
405466_seg_45000,405466,3750.807288950415,4781.25,2.0088437,4.587523,26.465871741668018,3.0,2.6666666666666665,1.9786985
405466_seg_48000,405466,3750.807288950415,4851.5625,2.874677,4.5369825,25.125740302990742,3.0,1.3333333333333333,2.3007953
405466_seg_51000,405466,3750.807288950415,4781.25,2.6200933,4.894482,22.445117777067175,3.0,3.3333333333333335,1.5198605
405466_seg_54000,405466,3750.807288950415,4828.125,2.6458893,4.722913,26.42440165059784,3.0,2.6666666666666665,1.7421006
405466_seg_57000,405466,3750.807288950415,4757.8125,2.273282,4.641948,21.946790183366822,3.0,2.0,1.9345887
405466_seg_60000,405466,3628.5269219403576,4828.125,2.7747104,4.627633,22.749620971040446,3.0,1.6666666666666667,1.9878207
405466_seg_63000,405466,3628.5269219403576,4757.8125,2.8292458,4.8150268,21.256122397546573,3.0,2.3333333333333335,1.6320568
405466_seg_66000,405466,3750.807288950415,4828.125,2.5957842,4.419864,22.152404156916617,3.0,1.6666666666666667,2.2498438
405466_seg_69000,405466,3628.5269219403576,4781.25,2.93895,4.7813787,18.768338726565958,3.0,2.3333333333333335,1.6870655
404448_seg_6000,404448,2135.108373911701,6421.875,5.3606486,4.7851887,4.2668125134929475,3.0,1.6666666666666667,1.9919437
404448_seg_9000,404448,1693.0083986477366,3773.4375,5.5465994,5.1221538,3.098339371116836,3.0,3.3333333333333335,1.4971403
404448_seg_12000,404448,2135.108373911701,6421.875,5.4379673,4.7154675,3.1799232882467394,3.0,1.6666666666666667,2.2047997
403532_seg_15000,403532,3877.208470957242,4781.25,4.9812074,4.8367786,11.616709756805726,3.0,1.0,1.9849913
403532_seg_36000,403532,3877.208470957242,5156.25,4.9334297,4.6964374,12.027762355384432,3.0,0.6666666666666666,2.2779536
403532_seg_45000,403532,2207.060943421246,4640.625,5.1500564,4.934678,10.990965835940534,3.0,1.3333333333333333,1.8862559
400994_seg_0,400994,3510.2330269093236,4875.0,3.9883218,4.7635255,16.52514799570988,3.0,1.0,2.0268521
400994_seg_3000,400994,3510.2330269093236,4875.0,3.8493013,4.839584,13.023651524042739,3.0,1.3333333333333333,1.8664964
400994_seg_6000,400994,3510.2330269093236,4898.4375,3.873843,5.0828323,11.05554251696384,3.0,1.3333333333333333,1.6174592
400994_seg_9000,400994,3395.79564056698,4898.4375,3.948637,4.6552134,13.638659414243458,3.0,0.6666666666666666,2.388151
400994_seg_12000,400994,4730.26599157077,4851.5625,3.4697156,4.9707594,14.579101596357281,3.0,2.0,1.6136899
400994_seg_15000,400994,3395.79564056698,4875.0,4.310208,4.8553905,11.010566330494058,3.0,1.0,1.9091547
400994_seg_21000,400994,4730.26599157077,4875.0,3.2005172,4.642105,15.886358064936918,3.0,1.0,2.2897553
400994_seg_24000,400994,3750.807288950415,4898.4375,4.3729215,5.092686,14.60189101179953,3.0,1.0,1.715096
400994_seg_27000,400994,4889.674664552353,4898.4375,3.1843312,4.625497,14.142618287007133,3.0,1.0,2.3052154
400994_seg_30000,400994,3510.2330269093236,4875.0,3.6642745,5.065746,12.477375642226418,3.0,2.3333333333333335,1.4922038
400994_seg_33000,400994,3395.79564056698,4898.4375,4.1149564,5.0146823,12.577928321635085,3.0,1.3333333333333333,1.6700462
400994_seg_36000,400994,3395.79564056698,4898.4375,4.565199,5.050957,11.380586315749621,3.0,1.0,1.684332
400994_seg_39000,400994,3285.0890365665714,4875.0,3.3340974,4.9413385,11.954439995088874,3.0,1.6666666666666667,1.763023
400994_seg_42000,400994,4730.26599157077,4804.6875,4.607271,5.098969,9.87195768760591,3.0,1.3333333333333333,1.6186452
400994_seg_45000,400994,4889.674664552353,4875.0,3.9099894,4.802573,11.865538516175341,3.0,1.0,2.096713
400994_seg_48000,400994,3628.5269219403576,4921.875,3.8568225,5.015752,13.983992432802761,3.0,2.0,1.6228205
400994_seg_51000,400994,3074.3856306519383,4851.5625,3.7781208,4.976965,10.83671314633697,3.0,1.0,1.8692343
400994_seg_57000,400994,3177.9915873759783,4898.4375,3.7739427,4.846979,11.441902000800317,3.0,1.6666666666666667,1.932603
400994_seg_60000,400994,3395.79564056698,4945.3125,4.2757645,4.555675,13.665002788675714,3.0,1.0,1.9603701
387516_seg_3000,387516,2281.438294886726,3492.1875,4.9786305,5.3478804,3.7526220501736978,3.0,4.333333333333333,1.0566043
387516_seg_9000,387516,3177.9915873759783,4453.125,4.744301,5.0899916,5.615250822224477,3.0,3.0,1.4732652
387516_seg_12000,387516,3074.3856306519383,3539.0625,4.8221,5.244693,4.610594623935111,3.0,4.333333333333333,1.2605239
387516_seg_15000,387516,2604.8716763839616,3585.9375,4.8513513,5.317316,3.667349200542672,3.0,4.0,1.125962
387516_seg_18000,387516,2692.655140983971,4429.6875,4.854632,5.0522413,3.629846891652716,3.0,2.3333333333333335,1.4871496
387516_seg_24000,387516,2692.655140983971,7265.625,4.9711604,5.311968,6.066610267396511,3.0,1.3333333333333333,1.2755929
387516_seg_27000,387516,3074.3856306519383,7265.625,5.12155,5.1242085,8.590804464989535,3.0,2.6666666666666665,1.5064471
387516_seg_30000,387516,2783.3968843840626,7289.0625,5.3142614,5.37408,6.058326091471886,3.0,3.3333333333333335,1.127983
387516_seg_36000,387516,2437.796955402183,7242.1875,5.332466,5.4011135,6.2007517566976205,3.0,3.0,1.0352799
387516_seg_39000,387516,2692.655140983971,7312.5,4.9232874,5.3021536,14.929248768418626,3.0,2.6666666666666665,1.3371848
387516_seg_42000,387516,7040.7412152673605,7218.75,4.450184,5.0609183,15.60585798146289,3.0,1.3333333333333333,1.7260807
387516_seg_45000,387516,3510.2330269093236,7265.625,4.1223755,5.0930934,15.339184149598987,3.0,1.6666666666666667,1.5997941
387516_seg_48000,387516,3395.79564056698,7289.0625,4.258437,4.9985633,17.471583653721744,3.0,2.3333333333333335,1.7497565
387516_seg_51000,387516,2437.796955402183,7242.1875,4.599031,5.229007,12.968738305376524,3.0,1.0,1.3638047
387516_seg_54000,387516,2519.9500475013783,7218.75,4.316139,5.14305,11.46189274033866,3.0,1.6666666666666667,1.5873789
387516_seg_57000,387516,2692.655140983971,7195.3125,4.285977,4.9820805,12.036984416970467,3.0,1.3333333333333333,1.762424
387516_seg_60000,387516,7040.7412152673605,7125.0,4.1796255,5.124551,11.949722687630977,3.0,1.3333333333333333,1.5810453
387516_seg_63000,387516,2877.196599772457,7265.625,3.7750535,5.113284,11.96201231518424,3.0,1.6666666666666667,1.5799444
387516_seg_66000,387516,2877.196599772457,7265.625,3.9298801,5.1469717,12.368608166097754,3.0,2.6666666666666665,1.4444779
387516_seg_69000,387516,2437.796955402183,7242.1875,5.041768,5.2597036,9.086435013811073,3.0,2.0,1.2779875
387516_seg_72000,387516,2604.8716763839616,7242.1875,4.441042,5.2065754,15.075130757029871,3.0,2.3333333333333335,1.3622916
387516_seg_75000,387516,6811.2054504302805,7195.3125,3.7983527,5.085336,17.363289747254537,3.0,2.3333333333333335,1.5241888
387516_seg_78000,387516,2437.796955402183,7242.1875,4.2721157,5.1293745,15.412747496651974,3.0,1.6666666666666667,1.5534254
387516_seg_84000,387516,2604.8716763839616,7195.3125,4.654308,5.2308335,13.816771612812289,3.0,2.0,1.2562783
387516_seg_90000,387516,2783.3968843840626,7218.75,4.573788,5.1632767,10.02497263342781,3.0,1.6666666666666667,1.4894736
387516_seg_93000,387516,2692.655140983971,7289.0625,4.372135,4.853185,15.081469746319385,3.0,0.6666666666666666,2.1555593
387516_seg_96000,387516,2604.8716763839616,7289.0625,4.967337,5.1790886,10.420283701642898,3.0,2.6666666666666665,1.3502651
387516_seg_102000,387516,2519.9500475013783,7242.1875,5.217714,5.352858,8.018854490354194,3.0,2.3333333333333335,1.127286
387516_seg_117000,387516,2604.8716763839616,7242.1875,4.9011455,5.210747,11.028307059505122,3.0,2.0,1.3299838
387516_seg_120000,387516,3395.79564056698,7265.625,4.616643,5.1272984,12.7511365177032,3.0,1.6666666666666667,1.607546
387516_seg_123000,387516,3285.0890365665714,7218.75,4.104983,5.0712166,11.177947422264777,3.0,2.0,1.5825033
387516_seg_129000,387516,2437.796955402183,7242.1875,5.118555,5.2465677,8.128680481308022,3.0,1.6666666666666667,1.297841
387516_seg_132000,387516,2692.655140983971,7148.4375,4.424389,5.286557,11.316736519199237,3.0,1.6666666666666667,1.324112
387516_seg_135000,387516,2783.3968843840626,7218.75,5.448372,5.4067345,5.990214089128503,3.0,3.6666666666666665,0.99845845
387516_seg_138000,387516,2877.196599772457,7265.625,5.3879843,5.394266,7.896640863054176,3.0,3.3333333333333335,0.99512017
387516_seg_141000,387516,3510.2330269093236,7218.75,4.712782,5.2125664,9.799209149676791,3.0,2.3333333333333335,1.3992965
387516_seg_147000,387516,2604.8716763839616,7265.625,5.178338,5.4151554,7.69588958622476,3.0,3.0,1.0338068
387516_seg_150000,387516,4426.869905738098,7312.5,4.618627,5.189252,11.603953515072362,3.0,2.3333333333333335,1.4275596
387516_seg_153000,387516,2437.796955402183,7335.9375,5.47218,5.2421045,6.506800250062516,3.0,3.3333333333333335,1.1769905
387516_seg_159000,387516,3395.79564056698,7242.1875,4.8774333,5.306032,8.697704606187676,3.0,1.6666666666666667,1.2543217
387516_seg_165000,387516,2783.3968843840626,7242.1875,5.346846,5.4064927,5.942651305328956,3.0,4.0,1.0376198
387516_seg_168000,387516,4007.86933830162,7148.4375,5.185796,5.2953906,7.635148049062254,3.0,2.3333333333333335,1.2945114
386240_seg_0,386240,2519.9500475013783,3539.0625,4.2907166,4.9617033,16.447880877272016,3.0,1.6666666666666667,1.7435611
386240_seg_3000,386240,2437.796955402183,3539.0625,4.1142983,4.782917,14.52602724752348,3.0,0.6666666666666666,2.032433
386240_seg_9000,386240,2783.3968843840626,3562.5,2.7900608,5.039253,20.441162232719947,3.0,2.0,1.4320556
386240_seg_18000,386240,2692.655140983971,3562.5,3.0745223,5.065599,15.86559576565244,3.0,2.0,1.3339604
386240_seg_24000,386240,2692.655140983971,3585.9375,2.8971055,5.1205335,16.837505047213526,3.0,2.6666666666666665,1.2521908
386240_seg_30000,386240,2604.8716763839616,3562.5,3.5249093,5.1577435,15.549031658857587,3.0,2.3333333333333335,1.2553949
386240_seg_36000,386240,2604.8716763839616,3562.5,2.6168575,4.8528876,15.364178178594777,3.0,1.6666666666666667,1.5227257
386240_seg_48000,386240,2604.8716763839616,3539.0625,3.5015237,5.030338,16.145732666543037,3.0,2.3333333333333335,1.4308225
386240_seg_54000,386240,2604.8716763839616,3539.0625,3.1375258,5.162889,15.483688509091696,3.0,3.0,1.2198501
386240_seg_60000,386240,2692.655140983971,3585.9375,3.1737747,5.0405197,16.27880408952446,3.0,2.0,1.4289365
386240_seg_63000,386240,2692.655140983971,3562.5,3.0177128,4.588724,20.726244044935953,3.0,0.6666666666666666,2.2551825
386240_seg_69000,386240,3510.2330269093236,3539.0625,2.9425895,5.1409206,17.729446399241308,3.0,2.3333333333333335,1.2609215
386240_seg_75000,386240,2604.8716763839616,3585.9375,3.3139136,5.0491686,17.543328418026356,3.0,2.3333333333333335,1.4067252
386240_seg_81000,386240,2783.3968843840626,3562.5,2.8272767,5.124777,20.225319884540173,3.0,2.3333333333333335,1.2692876
385917_seg_0,385917,3510.2330269093236,3609.375,3.3249757,5.2123723,13.814564922942274,3.0,3.3333333333333335,1.1582829
385917_seg_6000,385917,3177.9915873759783,3632.8125,3.7020545,5.195174,11.565296637068723,3.0,2.0,1.2696354
385917_seg_9000,385917,3510.2330269093236,4218.75,3.8312984,5.017545,15.637216543208021,3.0,1.0,1.6903923
385917_seg_15000,385917,3510.2330269093236,3585.9375,3.3019876,5.174045,12.16190664575433,3.0,2.6666666666666665,1.2717047
385917_seg_21000,385917,3510.2330269093236,3585.9375,3.6116385,5.142358,13.26681768872247,3.0,2.0,1.4320772
385917_seg_30000,385917,3510.2330269093236,3585.9375,2.9852555,5.2379074,12.35555716292904,3.0,3.0,1.1580154
385885_seg_0,385885,5054.455366309282,7921.875,4.2504177,4.56271,15.819760318259615,3.0,2.3333333333333335,1.959794
385885_seg_3000,385885,2519.9500475013783,7875.0,4.309525,4.348473,14.875775516653432,3.0,1.3333333333333333,2.4794018
385885_seg_6000,385885,2519.9500475013783,7851.5625,4.139771,4.6688766,15.746830966471448,3.0,2.6666666666666665,1.8445309
385885_seg_9000,385885,2437.796955402183,7828.125,4.579594,4.577423,11.424575447578471,3.0,1.3333333333333333,2.2971792
